date,sentiment_value,sentiment_class,trades,active_accounts,volume_usd,closed_pnl,fees,net_after_fees,realized_fills,win_rate,pnl_per_realized_fill,pnl_margin_bps
2023-05-01,63.0,Greed,3,1,477.0,0.0,0.0,0.0,0,,,0.0
2023-12-05,75.0,Extreme Greed,9,1,50005.83,0.0,12.501455,-12.501455,0,,,0.0
2023-12-14,72.0,Greed,11,1,113203.34999999999,-205.43473700000007,28.300831,-233.73556800000006,6,0.6666666666666666,-34.23912283333335,-18.14740791681519
2023-12-15,70.0,Greed,2,1,10609.95,-24.632033999999997,2.652489,-27.284522999999997,2,0.0,-12.316016999999999,-23.215975570101644
2023-12-16,67.0,Greed,3,1,15348.77,0.0,3.837189,-3.837189,0,,,0.0
2023-12-17,73.0,Greed,14,1,116278.01999999999,304.982785,29.069498999999997,275.91328599999997,11,0.6363636363636364,27.725707727272724,26.228756303211902
2023-12-18,65.0,Greed,2,1,31164.179999999997,0.0,7.791045,-7.791045,0,,,0.0
2023-12-19,73.0,Greed,15,1,91602.40999999999,1000.5386120000001,22.900596000000004,977.6380160000001,10,1.0,100.0538612,109.22623236659388
2023-12-20,74.0,Greed,18,1,141636.79000000004,162.732282,35.40918700000001,127.323095,8,1.0,20.34153525,11.4894076602555
2023-12-21,70.0,Greed,49,1,125233.97000000003,537.211402,31.308468999999995,505.902933,27,0.9629629629629629,19.896718592592592,42.89661998258139
2023-12-22,74.0,Greed,10,1,88874.27999999998,141.832675,22.218566,119.614109,2,1.0,70.9163375,15.958798766077209
2023-12-23,70.0,Greed,13,1,78438.25,146.93670400000002,19.609555,127.32714900000002,8,1.0,18.367088000000003,18.732787128728653
2023-12-24,71.0,Greed,39,1,402954.94,1008.6199559999999,100.73871500000001,907.8812409999998,17,0.8823529411764706,59.33058564705882,25.03058917704297
2023-12-25,73.0,Greed,3,1,59948.51,-245.081348,14.987124999999999,-260.068473,1,0.0,-245.081348,-40.88197488144409
2023-12-27,73.0,Greed,28,1,171411.05999999994,-704.8892269999999,42.85274699999999,-747.7419739999999,13,0.3076923076923077,-54.222248230769225,-41.12273892944832
2023-12-28,73.0,Greed,23,1,100117.24999999999,-970.7308760000001,25.0293,-995.7601760000001,13,0.0,-74.67160584615385,-96.95940270033388
2023-12-29,65.0,Greed,50,1,569559.7199999999,508.922143,142.38990100000004,366.532242,20,0.75,25.44610715,8.93536050969335
2023-12-30,68.0,Greed,52,1,702550.2100000001,354.9986479999998,175.637526,179.36112199999977,33,0.696969696969697,10.75753478787878,5.053000382705739
2024-01-01,65.0,Greed,18,1,264239.52999999997,-129.53146,66.059867,-195.591327,6,0.16666666666666666,-21.58857666666667,-4.902047017719114
2024-01-02,71.0,Greed,17,1,121348.74,783.9791160000001,30.337176000000003,753.6419400000001,9,0.8888888888888888,87.10879066666668,64.60545993308213
2024-01-03,70.0,Greed,67,1,394499.36000000004,866.0155070000001,98.624811,767.390696,35,0.8,24.743300200000004,21.952266462485515
2024-01-04,68.0,Greed,5,1,99792.54000000001,-67.60364,24.948132,-92.551772,3,0.0,-22.534546666666667,-6.774418208014346
2024-01-05,72.0,Greed,66,1,1703942.66,164.14156499999999,425.98563899999994,-261.844074,23,0.5652173913043478,7.136589782608695,0.9633045104933284
2024-01-06,70.0,Greed,22,1,298521.4,135.58166400000002,74.63034200000001,60.951322000000005,12,0.8333333333333334,11.298472000000002,4.54177368858648
2024-01-07,71.0,Greed,97,1,1048850.0599999998,-835.681235,262.2124639999999,-1097.893699,37,0.24324324324324326,-22.585979324324324,-7.967594862892034
2024-01-08,71.0,Greed,128,1,1522452.4299999988,-269.8744390000002,380.61306400000007,-650.4875030000003,67,0.47761194029850745,-4.02797670149254,-1.7726296972050577
2024-01-09,76.0,Extreme Greed,70,1,870051.9700000001,-826.349863,204.01292800000002,-1030.362791,28,0.6428571428571429,-29.512495107142858,-9.497706935828212
2024-01-10,73.0,Greed,193,1,2057479.4799999993,-1517.0913420000002,434.04486499999985,-1951.136207,83,0.4939759036144578,-18.27820893975904,-7.373543001264833
2024-01-11,76.0,Extreme Greed,21,2,305314.1,-164.089501,75.86717100000001,-239.95667200000003,9,0.5555555555555556,-18.232166777777778,-5.374448838098209
2024-01-12,71.0,Greed,7,1,200082.27,-1925.519024,49.480726999999995,-1974.9997509999998,2,0.0,-962.759512,-96.23636437151579
2024-01-15,52.0,Neutral,14,2,50636.09999999999,152.85358,12.652712000000001,140.20086799999999,9,1.0,16.983731111111112,30.186681043761276
2024-01-16,64.0,Greed,9,2,116427.33,-2299.171458,17.319308999999997,-2316.490767,5,0.6,-459.8342916,-197.47695476654837
2024-01-17,60.0,Greed,53,1,800831.0300000001,813.2741110000001,159.707606,653.566505,19,0.5789473684210527,42.80390057894737,10.155377108701693
2024-01-18,63.0,Greed,46,1,424631.53,68.93319,92.657901,-23.724711,9,0.3333333333333333,7.6592433333333325,1.623364849991238
2024-01-19,51.0,Neutral,48,2,428428.9700000001,-385.4192349999999,93.051868,-478.4711029999999,27,0.2222222222222222,-14.274786481481478,-8.996105818894549
2024-01-20,52.0,Neutral,106,1,1070090.5099999998,-146.57486999999998,267.5225830000002,-414.0974530000002,32,0.46875,-4.580464687499999,-1.3697427332572083
2024-01-21,56.0,Greed,11,1,103129.73999999999,266.581146,25.78243,240.79871599999998,5,0.6,53.316229199999995,25.849104826599973
2024-01-22,55.0,Greed,85,2,337878.98999999993,1375.6409589999996,67.478268,1308.1626909999995,41,0.5609756097560976,33.55221851219511,40.71401299619132
2024-01-23,50.0,Neutral,45,1,414518.93,-369.2447299999998,85.72457,-454.96929999999975,20,0.55,-18.46223649999999,-8.907789325809555
2024-01-24,48.0,Neutral,68,1,965084.59,-2808.353814999999,227.7710950000001,-3036.124909999999,40,0.25,-70.20884537499998,-29.09956126229307
2024-01-25,52.0,Neutral,6,1,66566.12999999999,-3093.629385,16.641532,-3110.2709170000003,6,0.0,-515.6048975,-464.7452668496727
2024-01-26,49.0,Neutral,5,2,11773.21,90.2,0.444235,89.755765,1,1.0,90.2,76.61461912256726
